alternative.id,container.title,created,deposited,doi,indexed,ISBN,ISSN,issue,issued,member,page,prefix,publisher,reference.count,score,source,subject,title,type,update.policy,URL,volume,archive,license_date,license_URL,license_delay.in.days,license_content.version,abstract,subtitle,archive_,NA.,NA..1,funding_name,funding_award,funding_DOI,funding_doi.asserted.by,author_given,author_family,author_affiliation,author_ORCID
,Ecological Applications,2016-05-25,2017-03-25,10.1890/15-1397.1,2017-03-25,,1051-0761,6,2016-09,http://id.crossref.org/member/311,1881-1895,http://id.crossref.org/prefix/10.1890,Wiley-Blackwell,112,1,CrossRef,Ecology,Long-lasting effects of land use history on soil fungal communities in second-growth tropical rain forests,journal-article,NA,http://dx.doi.org/10.1890/15-1397.1,26,Portico,2015-09-01,http://doi.wiley.com/10.1002/tdm_license_1.1,0,tdm,NA,NA,NA,NA,NA,Institute of Latin American Studies at Columbia University,"DEB 0963447, DEB 0218039, BSR-8811902, DEB 0080538, DEB 0620910, DEB 9411973",NA,NA,Jill,Thompson,"NA, Department of Environmental Sciences; University of Puerto Rico, Río Piedras Campus; San Juan Puerto Rico 00936 USA, Centre for Ecology & Hydrology; Bush Estate Penicuik Midlothian EH26 0QB UK",NA
,Ecological Applications,2016-05-25,2017-03-25,10.1890/15-1397.1,2017-03-25,,1051-0761,6,2016-09,http://id.crossref.org/member/311,1881-1895,http://id.crossref.org/prefix/10.1890,Wiley-Blackwell,112,1,CrossRef,Ecology,Long-lasting effects of land use history on soil fungal communities in second-growth tropical rain forests,journal-article,NA,http://dx.doi.org/10.1890/15-1397.1,26,Portico,2015-09-01,http://doi.wiley.com/10.1002/tdm_license_1.1,0,tdm,NA,NA,NA,NA,NA,Institute of Latin American Studies at Columbia University,"DEB 0963447, DEB 0218039, BSR-8811902, DEB 0080538, DEB 0620910, DEB 9411973",NA,NA,Jonathan W.,Leff,"Department of Ecology and Evolutionary Biology; Cooperative Institute for Research in Environmental Sciences; University of Colorado Boulder; 1900 Pleasant street 334 UCB, Boulder, Colorado, 80309 USA, NA, NA",NA
,Ecological Applications,2016-05-25,2017-03-25,10.1890/15-1397.1,2017-03-25,,1051-0761,6,2016-09,http://id.crossref.org/member/311,1881-1895,http://id.crossref.org/prefix/10.1890,Wiley-Blackwell,112,1,CrossRef,Ecology,Long-lasting effects of land use history on soil fungal communities in second-growth tropical rain forests,journal-article,NA,http://dx.doi.org/10.1890/15-1397.1,26,Portico,2015-09-01,http://doi.wiley.com/10.1002/tdm_license_1.1,0,tdm,NA,NA,NA,NA,NA,Institute of Latin American Studies at Columbia University,"DEB 0963447, DEB 0218039, BSR-8811902, DEB 0080538, DEB 0620910, DEB 9411973",NA,NA,Ava,Asiaii,"Department of Biology; Barnard College; Columbia University; New York New York 10027 USA, NA, NA",NA
,Ecological Applications,2016-05-25,2017-03-25,10.1890/15-1397.1,2017-03-25,,1051-0761,6,2016-09,http://id.crossref.org/member/311,1881-1895,http://id.crossref.org/prefix/10.1890,Wiley-Blackwell,112,1,CrossRef,Ecology,Long-lasting effects of land use history on soil fungal communities in second-growth tropical rain forests,journal-article,NA,http://dx.doi.org/10.1890/15-1397.1,26,Portico,2015-09-01,http://doi.wiley.com/10.1002/tdm_license_1.1,0,tdm,NA,NA,NA,NA,NA,Institute of Latin American Studies at Columbia University,"DEB 0963447, DEB 0218039, BSR-8811902, DEB 0080538, DEB 0620910, DEB 9411973",NA,NA,Jenny,Koshner,"Department of Biology; Barnard College; Columbia University; New York New York 10027 USA, NA, NA",NA
,Ecological Applications,2016-05-25,2017-03-25,10.1890/15-1397.1,2017-03-25,,1051-0761,6,2016-09,http://id.crossref.org/member/311,1881-1895,http://id.crossref.org/prefix/10.1890,Wiley-Blackwell,112,1,CrossRef,Ecology,Long-lasting effects of land use history on soil fungal communities in second-growth tropical rain forests,journal-article,NA,http://dx.doi.org/10.1890/15-1397.1,26,Portico,2015-09-01,http://doi.wiley.com/10.1002/tdm_license_1.1,0,tdm,NA,NA,NA,NA,NA,Institute of Latin American Studies at Columbia University,"DEB 0963447, DEB 0218039, BSR-8811902, DEB 0080538, DEB 0620910, DEB 9411973",NA,NA,Krista,McGuire,"NA, Department of Ecology, Evolution and Environmental Biology; Columbia University; 1200 Amsterdam Avenue New York New York 10027 USA, Department of Biology; Barnard College; Columbia University; New York New York 10027 USA",NA
,Ecological Applications,2016-05-25,2017-03-25,10.1890/15-1397.1,2017-03-25,,1051-0761,6,2016-09,http://id.crossref.org/member/311,1881-1895,http://id.crossref.org/prefix/10.1890,Wiley-Blackwell,112,1,CrossRef,Ecology,Long-lasting effects of land use history on soil fungal communities in second-growth tropical rain forests,journal-article,NA,http://dx.doi.org/10.1890/15-1397.1,26,Portico,2015-09-01,http://doi.wiley.com/10.1002/tdm_license_1.1,0,tdm,NA,NA,NA,NA,NA,"NSF to the Institute for Tropical Ecosystem Studies, University of Puerto Rico, and to the International Institute of Tropical Forestry USDA Forest Service for the Luquillo LTER program",NA,NA,NA,Benedicte,Bachelot,"Department of Ecology, Evolution and Environmental Biology; Columbia University; 1200 Amsterdam Avenue New York New York 10027 USA, NA, NA",NA
,Ecological Applications,2016-05-25,2017-03-25,10.1890/15-1397.1,2017-03-25,,1051-0761,6,2016-09,http://id.crossref.org/member/311,1881-1895,http://id.crossref.org/prefix/10.1890,Wiley-Blackwell,112,1,CrossRef,Ecology,Long-lasting effects of land use history on soil fungal communities in second-growth tropical rain forests,journal-article,NA,http://dx.doi.org/10.1890/15-1397.1,26,Portico,2015-09-01,http://doi.wiley.com/10.1002/tdm_license_1.1,0,tdm,NA,NA,NA,NA,NA,"NSF to the Institute for Tropical Ecosystem Studies, University of Puerto Rico, and to the International Institute of Tropical Forestry USDA Forest Service for the Luquillo LTER program",NA,NA,NA,María,Uriarte,"Department of Ecology, Evolution and Environmental Biology; Columbia University; 1200 Amsterdam Avenue New York New York 10027 USA, NA, NA",NA
,Ecological Applications,2016-05-25,2017-03-25,10.1890/15-1397.1,2017-03-25,,1051-0761,6,2016-09,http://id.crossref.org/member/311,1881-1895,http://id.crossref.org/prefix/10.1890,Wiley-Blackwell,112,1,CrossRef,Ecology,Long-lasting effects of land use history on soil fungal communities in second-growth tropical rain forests,journal-article,NA,http://dx.doi.org/10.1890/15-1397.1,26,Portico,2015-09-01,http://doi.wiley.com/10.1002/tdm_license_1.1,0,tdm,NA,NA,NA,NA,NA,"NSF to the Institute for Tropical Ecosystem Studies, University of Puerto Rico, and to the International Institute of Tropical Forestry USDA Forest Service for the Luquillo LTER program",NA,NA,NA,Jess K.,Zimmerman,"Department of Environmental Sciences; University of Puerto Rico, Río Piedras Campus; San Juan Puerto Rico 00936 USA, NA, NA",NA
,Ecological Applications,2016-05-25,2017-03-25,10.1890/15-1397.1,2017-03-25,,1051-0761,6,2016-09,http://id.crossref.org/member/311,1881-1895,http://id.crossref.org/prefix/10.1890,Wiley-Blackwell,112,1,CrossRef,Ecology,Long-lasting effects of land use history on soil fungal communities in second-growth tropical rain forests,journal-article,NA,http://dx.doi.org/10.1890/15-1397.1,26,Portico,2015-09-01,http://doi.wiley.com/10.1002/tdm_license_1.1,0,tdm,NA,NA,NA,NA,NA,"NSF to the Institute for Tropical Ecosystem Studies, University of Puerto Rico, and to the International Institute of Tropical Forestry USDA Forest Service for the Luquillo LTER program",NA,NA,NA,Jill,Thompson,"NA, Department of Environmental Sciences; University of Puerto Rico, Río Piedras Campus; San Juan Puerto Rico 00936 USA, Centre for Ecology & Hydrology; Bush Estate Penicuik Midlothian EH26 0QB UK",NA
,Ecological Applications,2016-05-25,2017-03-25,10.1890/15-1397.1,2017-03-25,,1051-0761,6,2016-09,http://id.crossref.org/member/311,1881-1895,http://id.crossref.org/prefix/10.1890,Wiley-Blackwell,112,1,CrossRef,Ecology,Long-lasting effects of land use history on soil fungal communities in second-growth tropical rain forests,journal-article,NA,http://dx.doi.org/10.1890/15-1397.1,26,Portico,2015-09-01,http://doi.wiley.com/10.1002/tdm_license_1.1,0,tdm,NA,NA,NA,NA,NA,"NSF to the Institute for Tropical Ecosystem Studies, University of Puerto Rico, and to the International Institute of Tropical Forestry USDA Forest Service for the Luquillo LTER program",NA,NA,NA,Jonathan W.,Leff,"Department of Ecology and Evolutionary Biology; Cooperative Institute for Research in Environmental Sciences; University of Colorado Boulder; 1900 Pleasant street 334 UCB, Boulder, Colorado, 80309 USA, NA, NA",NA
,Ecological Applications,2016-05-25,2017-03-25,10.1890/15-1397.1,2017-03-25,,1051-0761,6,2016-09,http://id.crossref.org/member/311,1881-1895,http://id.crossref.org/prefix/10.1890,Wiley-Blackwell,112,1,CrossRef,Ecology,Long-lasting effects of land use history on soil fungal communities in second-growth tropical rain forests,journal-article,NA,http://dx.doi.org/10.1890/15-1397.1,26,Portico,2015-09-01,http://doi.wiley.com/10.1002/tdm_license_1.1,0,tdm,NA,NA,NA,NA,NA,"NSF to the Institute for Tropical Ecosystem Studies, University of Puerto Rico, and to the International Institute of Tropical Forestry USDA Forest Service for the Luquillo LTER program",NA,NA,NA,Ava,Asiaii,"Department of Biology; Barnard College; Columbia University; New York New York 10027 USA, NA, NA",NA
,Ecological Applications,2016-05-25,2017-03-25,10.1890/15-1397.1,2017-03-25,,1051-0761,6,2016-09,http://id.crossref.org/member/311,1881-1895,http://id.crossref.org/prefix/10.1890,Wiley-Blackwell,112,1,CrossRef,Ecology,Long-lasting effects of land use history on soil fungal communities in second-growth tropical rain forests,journal-article,NA,http://dx.doi.org/10.1890/15-1397.1,26,Portico,2015-09-01,http://doi.wiley.com/10.1002/tdm_license_1.1,0,tdm,NA,NA,NA,NA,NA,"NSF to the Institute for Tropical Ecosystem Studies, University of Puerto Rico, and to the International Institute of Tropical Forestry USDA Forest Service for the Luquillo LTER program",NA,NA,NA,Jenny,Koshner,"Department of Biology; Barnard College; Columbia University; New York New York 10027 USA, NA, NA",NA
,Ecological Applications,2016-05-25,2017-03-25,10.1890/15-1397.1,2017-03-25,,1051-0761,6,2016-09,http://id.crossref.org/member/311,1881-1895,http://id.crossref.org/prefix/10.1890,Wiley-Blackwell,112,1,CrossRef,Ecology,Long-lasting effects of land use history on soil fungal communities in second-growth tropical rain forests,journal-article,NA,http://dx.doi.org/10.1890/15-1397.1,26,Portico,2015-09-01,http://doi.wiley.com/10.1002/tdm_license_1.1,0,tdm,NA,NA,NA,NA,NA,"NSF to the Institute for Tropical Ecosystem Studies, University of Puerto Rico, and to the International Institute of Tropical Forestry USDA Forest Service for the Luquillo LTER program",NA,NA,NA,Krista,McGuire,"NA, Department of Ecology, Evolution and Environmental Biology; Columbia University; 1200 Amsterdam Avenue New York New York 10027 USA, Department of Biology; Barnard College; Columbia University; New York New York 10027 USA",NA
S0960428615000256,Edinburgh Journal of Botany,2015-11-10,2017-04-04,10.1017/s0960428615000256,2017-04-04,,"0960-4286,1474-0036",01,2015-11-10,http://id.crossref.org/member/56,39-81,http://id.crossref.org/prefix/10.1017,Cambridge University Press (CUP),42,1,CrossRef,"Plant Science,Ecology, Evolution, Behavior and Systematics","A BOTANICAL INVENTORY OF FOREST ON KARSTIC LIMESTONE AND METAMORPHIC SUBSTRATE IN THE CHIQUIBUL FOREST, BELIZE, WITH FOCUS ON WOODY TAXA",journal-article,NA,http://dx.doi.org/10.1017/s0960428615000256,73,NA,NA,NA,NA,NA,"<jats:p>The Chiquibul Forest Reserve and National Park in Belize is a priority conservation area within the ‘Maya Forest’ in Central America. Although taxonomic data are essential for the development of conservation plans in the region, there is limited knowledge of the existing species in the area. Here we present a botanical species list of mostly woody taxa based on voucher specimens, with particular focus on the Raspaculo watershed in the eastern part of the National Park. Within the Raspaculo watershed, a comparison is made between 0.1 ha of valley floor and 0.1 ha of hilltop vegetation, sampling trees, shrubs, palms and lianas ≥2.5 cm diameter at breast height. Additionally, a 1 ha plot was established in the Upper Raspaculo watershed. Our study shows 38 new species records for the region, and important additions to the flora of Belize. New records were recorded from forests on both metamorphic and karstic substrate, including previously overlooked hilltop forest elements. Quantitative assessment of vegetation across elevation zones shows distinct elements dominating on valley floors and hilltops. Our results show that the Chiquibul contains at least 58% of Belize’s threatened plant species, and represent a source of information for the management and conservation of the area.</jats:p>",NA,NA,NA,NA,NA,NA,NA,NA,H. M.,Baden,NA,NA
S0960428615000256,Edinburgh Journal of Botany,2015-11-10,2017-04-04,10.1017/s0960428615000256,2017-04-04,,"0960-4286,1474-0036",01,2015-11-10,http://id.crossref.org/member/56,39-81,http://id.crossref.org/prefix/10.1017,Cambridge University Press (CUP),42,1,CrossRef,"Plant Science,Ecology, Evolution, Behavior and Systematics","A BOTANICAL INVENTORY OF FOREST ON KARSTIC LIMESTONE AND METAMORPHIC SUBSTRATE IN THE CHIQUIBUL FOREST, BELIZE, WITH FOCUS ON WOODY TAXA",journal-article,NA,http://dx.doi.org/10.1017/s0960428615000256,73,NA,NA,NA,NA,NA,"<jats:p>The Chiquibul Forest Reserve and National Park in Belize is a priority conservation area within the ‘Maya Forest’ in Central America. Although taxonomic data are essential for the development of conservation plans in the region, there is limited knowledge of the existing species in the area. Here we present a botanical species list of mostly woody taxa based on voucher specimens, with particular focus on the Raspaculo watershed in the eastern part of the National Park. Within the Raspaculo watershed, a comparison is made between 0.1 ha of valley floor and 0.1 ha of hilltop vegetation, sampling trees, shrubs, palms and lianas ≥2.5 cm diameter at breast height. Additionally, a 1 ha plot was established in the Upper Raspaculo watershed. Our study shows 38 new species records for the region, and important additions to the flora of Belize. New records were recorded from forests on both metamorphic and karstic substrate, including previously overlooked hilltop forest elements. Quantitative assessment of vegetation across elevation zones shows distinct elements dominating on valley floors and hilltops. Our results show that the Chiquibul contains at least 58% of Belize’s threatened plant species, and represent a source of information for the management and conservation of the area.</jats:p>",NA,NA,NA,NA,NA,NA,NA,NA,T.,Särkinen,NA,NA
S0960428615000256,Edinburgh Journal of Botany,2015-11-10,2017-04-04,10.1017/s0960428615000256,2017-04-04,,"0960-4286,1474-0036",01,2015-11-10,http://id.crossref.org/member/56,39-81,http://id.crossref.org/prefix/10.1017,Cambridge University Press (CUP),42,1,CrossRef,"Plant Science,Ecology, Evolution, Behavior and Systematics","A BOTANICAL INVENTORY OF FOREST ON KARSTIC LIMESTONE AND METAMORPHIC SUBSTRATE IN THE CHIQUIBUL FOREST, BELIZE, WITH FOCUS ON WOODY TAXA",journal-article,NA,http://dx.doi.org/10.1017/s0960428615000256,73,NA,NA,NA,NA,NA,"<jats:p>The Chiquibul Forest Reserve and National Park in Belize is a priority conservation area within the ‘Maya Forest’ in Central America. Although taxonomic data are essential for the development of conservation plans in the region, there is limited knowledge of the existing species in the area. Here we present a botanical species list of mostly woody taxa based on voucher specimens, with particular focus on the Raspaculo watershed in the eastern part of the National Park. Within the Raspaculo watershed, a comparison is made between 0.1 ha of valley floor and 0.1 ha of hilltop vegetation, sampling trees, shrubs, palms and lianas ≥2.5 cm diameter at breast height. Additionally, a 1 ha plot was established in the Upper Raspaculo watershed. Our study shows 38 new species records for the region, and important additions to the flora of Belize. New records were recorded from forests on both metamorphic and karstic substrate, including previously overlooked hilltop forest elements. Quantitative assessment of vegetation across elevation zones shows distinct elements dominating on valley floors and hilltops. Our results show that the Chiquibul contains at least 58% of Belize’s threatened plant species, and represent a source of information for the management and conservation of the area.</jats:p>",NA,NA,NA,NA,NA,NA,NA,NA,D. A.,Conde,NA,NA
S0960428615000256,Edinburgh Journal of Botany,2015-11-10,2017-04-04,10.1017/s0960428615000256,2017-04-04,,"0960-4286,1474-0036",01,2015-11-10,http://id.crossref.org/member/56,39-81,http://id.crossref.org/prefix/10.1017,Cambridge University Press (CUP),42,1,CrossRef,"Plant Science,Ecology, Evolution, Behavior and Systematics","A BOTANICAL INVENTORY OF FOREST ON KARSTIC LIMESTONE AND METAMORPHIC SUBSTRATE IN THE CHIQUIBUL FOREST, BELIZE, WITH FOCUS ON WOODY TAXA",journal-article,NA,http://dx.doi.org/10.1017/s0960428615000256,73,NA,NA,NA,NA,NA,"<jats:p>The Chiquibul Forest Reserve and National Park in Belize is a priority conservation area within the ‘Maya Forest’ in Central America. Although taxonomic data are essential for the development of conservation plans in the region, there is limited knowledge of the existing species in the area. Here we present a botanical species list of mostly woody taxa based on voucher specimens, with particular focus on the Raspaculo watershed in the eastern part of the National Park. Within the Raspaculo watershed, a comparison is made between 0.1 ha of valley floor and 0.1 ha of hilltop vegetation, sampling trees, shrubs, palms and lianas ≥2.5 cm diameter at breast height. Additionally, a 1 ha plot was established in the Upper Raspaculo watershed. Our study shows 38 new species records for the region, and important additions to the flora of Belize. New records were recorded from forests on both metamorphic and karstic substrate, including previously overlooked hilltop forest elements. Quantitative assessment of vegetation across elevation zones shows distinct elements dominating on valley floors and hilltops. Our results show that the Chiquibul contains at least 58% of Belize’s threatened plant species, and represent a source of information for the management and conservation of the area.</jats:p>",NA,NA,NA,NA,NA,NA,NA,NA,A. C.,Matthews,NA,NA
S0960428615000256,Edinburgh Journal of Botany,2015-11-10,2017-04-04,10.1017/s0960428615000256,2017-04-04,,"0960-4286,1474-0036",01,2015-11-10,http://id.crossref.org/member/56,39-81,http://id.crossref.org/prefix/10.1017,Cambridge University Press (CUP),42,1,CrossRef,"Plant Science,Ecology, Evolution, Behavior and Systematics","A BOTANICAL INVENTORY OF FOREST ON KARSTIC LIMESTONE AND METAMORPHIC SUBSTRATE IN THE CHIQUIBUL FOREST, BELIZE, WITH FOCUS ON WOODY TAXA",journal-article,NA,http://dx.doi.org/10.1017/s0960428615000256,73,NA,NA,NA,NA,NA,"<jats:p>The Chiquibul Forest Reserve and National Park in Belize is a priority conservation area within the ‘Maya Forest’ in Central America. Although taxonomic data are essential for the development of conservation plans in the region, there is limited knowledge of the existing species in the area. Here we present a botanical species list of mostly woody taxa based on voucher specimens, with particular focus on the Raspaculo watershed in the eastern part of the National Park. Within the Raspaculo watershed, a comparison is made between 0.1 ha of valley floor and 0.1 ha of hilltop vegetation, sampling trees, shrubs, palms and lianas ≥2.5 cm diameter at breast height. Additionally, a 1 ha plot was established in the Upper Raspaculo watershed. Our study shows 38 new species records for the region, and important additions to the flora of Belize. New records were recorded from forests on both metamorphic and karstic substrate, including previously overlooked hilltop forest elements. Quantitative assessment of vegetation across elevation zones shows distinct elements dominating on valley floors and hilltops. Our results show that the Chiquibul contains at least 58% of Belize’s threatened plant species, and represent a source of information for the management and conservation of the area.</jats:p>",NA,NA,NA,NA,NA,NA,NA,NA,H.,Vandrot,NA,NA
S0960428615000256,Edinburgh Journal of Botany,2015-11-10,2017-04-04,10.1017/s0960428615000256,2017-04-04,,"0960-4286,1474-0036",01,2015-11-10,http://id.crossref.org/member/56,39-81,http://id.crossref.org/prefix/10.1017,Cambridge University Press (CUP),42,1,CrossRef,"Plant Science,Ecology, Evolution, Behavior and Systematics","A BOTANICAL INVENTORY OF FOREST ON KARSTIC LIMESTONE AND METAMORPHIC SUBSTRATE IN THE CHIQUIBUL FOREST, BELIZE, WITH FOCUS ON WOODY TAXA",journal-article,NA,http://dx.doi.org/10.1017/s0960428615000256,73,NA,NA,NA,NA,NA,"<jats:p>The Chiquibul Forest Reserve and National Park in Belize is a priority conservation area within the ‘Maya Forest’ in Central America. Although taxonomic data are essential for the development of conservation plans in the region, there is limited knowledge of the existing species in the area. Here we present a botanical species list of mostly woody taxa based on voucher specimens, with particular focus on the Raspaculo watershed in the eastern part of the National Park. Within the Raspaculo watershed, a comparison is made between 0.1 ha of valley floor and 0.1 ha of hilltop vegetation, sampling trees, shrubs, palms and lianas ≥2.5 cm diameter at breast height. Additionally, a 1 ha plot was established in the Upper Raspaculo watershed. Our study shows 38 new species records for the region, and important additions to the flora of Belize. New records were recorded from forests on both metamorphic and karstic substrate, including previously overlooked hilltop forest elements. Quantitative assessment of vegetation across elevation zones shows distinct elements dominating on valley floors and hilltops. Our results show that the Chiquibul contains at least 58% of Belize’s threatened plant species, and represent a source of information for the management and conservation of the area.</jats:p>",NA,NA,NA,NA,NA,NA,NA,NA,S.,Chicas,NA,NA
